filename,defect_label,defect_description
1.jpg,0,Комлевая гниль
10.jpg,1,Повреждения вредителями
12.jpg,2,Дупло
13.jpg,2,Дупло
14.jpg,4,Повереждено вредителями/сухобочина
15.jpg,5,Сухие ветви
16.jpg,5,Сухие ветви
17.jpg,5,Сухие ветви
2.jpg,8,Обширная сухобочина
3.jpg,9,Стволовая гниль
4.jpg,10,Механические повреждения
5.jpg,11,Отслоение коры/сухой ствол
6.jpg,12,Отслоение коры
7.jpg,5,Сухие ветви
8.jpg,14,Сухостой
9.jpg,2,Дупло
11.jpeg,5,Сухие ветви
18.jpg,14,Сухостой
19.jpg,2,Дупло
20.jpg,14,Сухостой
21.jpg,2,Дупло
22.jpg,5,Сухие ветви
23.jpg,16,Наклон
24.jpg,5,Сухие ветви
25.jpg,17,Трещина
26.jpg,8,Обширная сухобочина
27.jpg,5,Сухие ветви
28.jpg,13,Сухие ветви
29.jpg,5,Сухие ветви
30.jpg,5,Сухие ветви
31.jpg,17,Трещина
32.jpg,5,Сухие ветви
33.jpg,5,Сухие ветви
34.jpg,2,Дупло
