epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0978,1.35308,2.5915,1.74642,0.00479,0.95833,0.31532,0.19075,1.20237,3.25618,1.62145,0.00026,0.00026,0.00026
2,126.762,1.23721,2.26845,1.66346,0.00479,0.95833,0.22722,0.10525,1.51697,3.16326,1.80385,0.000529308,0.000529308,0.000529308
3,202.273,1.36924,2.04625,1.73672,0.04913,0.875,0.22602,0.10292,1.66892,3.20933,1.8368,0.000787528,0.000787528,0.000787528
4,292.92,1.30135,1.99175,1.63382,0.32364,0.16,0.23841,0.10327,1.83641,3.32025,1.92835,0.00103466,0.00103466,0.00103466
5,353.584,1.33749,1.98994,1.63783,0.29238,0.16667,0.24081,0.09825,1.93956,3.26101,2.02216,0.0012707,0.0012707,0.0012707
6,412.634,1.30994,1.91693,1.66065,0.26928,0.50682,0.23754,0.08139,1.74626,3.04561,1.94929,0.00149566,0.00149566,0.00149566
7,467.757,1.33795,1.96498,1.67592,0.33674,0.375,0.22857,0.09644,1.82072,3.30436,2.05021,0.00170953,0.00170953,0.00170953
8,524.662,1.50232,1.97726,1.80898,0.15937,0.41667,0.15105,0.03515,2.24246,4.34992,2.53426,0.0017228,0.0017228,0.0017228
9,579.992,1.43569,1.95875,1.76116,0.12758,0.16667,0.04834,0.00929,3.01418,6.92209,3.41897,0.0016832,0.0016832,0.0016832
10,636.08,1.46617,2.0082,1.78575,0.09482,0.125,0.04366,0.0136,2.94881,6.27691,3.28081,0.0016436,0.0016436,0.0016436
11,690.546,1.43043,1.91688,1.71643,0.07039,0.125,0.02463,0.00865,3.05834,4.93369,3.2012,0.001604,0.001604,0.001604
12,746.037,1.23114,1.84497,1.67144,0.14484,0.20833,0.05192,0.01461,3.05597,4.82195,3.19426,0.0015644,0.0015644,0.0015644
13,801.954,1.22131,1.80424,1.59682,0.19373,0.375,0.119,0.03027,2.88533,4.08861,3.10602,0.0015248,0.0015248,0.0015248
14,856.455,1.31405,1.83497,1.66725,0.19373,0.375,0.119,0.03027,2.88533,4.08861,3.10602,0.0014852,0.0014852,0.0014852
15,911.829,1.36733,1.88895,1.73393,0.25525,0.33333,0.14875,0.04836,2.64131,3.6114,2.85461,0.0014456,0.0014456,0.0014456
16,965.837,1.22472,1.75962,1.58118,0.26792,0.375,0.23568,0.06652,2.07606,4.86784,2.41123,0.001406,0.001406,0.001406
17,1020.58,1.2632,1.74585,1.69255,0.25733,0.5,0.19226,0.0646,1.93411,3.71014,2.25998,0.0013664,0.0013664,0.0013664
18,1075.5,1.29046,1.79039,1.63135,0.23871,0.58333,0.22788,0.07656,1.87875,3.33488,2.18708,0.0013268,0.0013268,0.0013268
19,1139.88,1.32955,1.79503,1.70568,0.36181,0.33333,0.24678,0.10141,1.73411,3.47179,2.0164,0.0012872,0.0012872,0.0012872
20,1196.51,1.342,1.80561,1.69017,0.21823,0.375,0.16057,0.08157,1.68679,3.54846,1.93379,0.0012476,0.0012476,0.0012476
21,1252.69,1.28558,1.85063,1.67393,0.37119,0.45833,0.27314,0.12644,1.66734,3.0213,1.94467,0.001208,0.001208,0.001208
22,1310.58,1.14662,1.60375,1.56802,0.37119,0.45833,0.27314,0.12644,1.66734,3.0213,1.94467,0.0011684,0.0011684,0.0011684
23,1367.33,1.18761,1.69056,1.57544,0.20747,0.58333,0.27209,0.13269,1.67833,3.10592,1.95969,0.0011288,0.0011288,0.0011288
24,1423.04,1.20466,1.67146,1.60237,0.26359,0.33333,0.17495,0.06315,2.02166,3.76782,2.19614,0.0010892,0.0010892,0.0010892
25,1478.93,1.17822,1.64086,1.59452,0.24272,0.29167,0.15903,0.05699,1.97346,3.68801,2.18681,0.0010496,0.0010496,0.0010496
26,1536.41,1.19312,1.60048,1.57249,0.22738,0.375,0.26081,0.09524,1.78203,3.3144,1.98274,0.00101,0.00101,0.00101
27,1593.26,1.16258,1.60558,1.5833,0.33215,0.41667,0.27081,0.09248,1.83211,3.57992,2.07108,0.0009704,0.0009704,0.0009704
28,1650.97,1.14305,1.62159,1.5706,0.25533,0.5,0.25312,0.10621,1.72968,3.3834,2.01997,0.0009308,0.0009308,0.0009308
29,1707.8,1.14144,1.53764,1.56051,0.27783,0.45833,0.26505,0.12846,1.72794,3.093,1.96518,0.0008912,0.0008912,0.0008912
30,1764.64,1.14767,1.57708,1.54929,0.27783,0.45833,0.26505,0.12846,1.72794,3.093,1.96518,0.0008516,0.0008516,0.0008516
31,1829.27,1.09388,1.56366,1.51534,0.27126,0.5,0.24206,0.12525,1.77488,3.08033,1.98981,0.000812,0.000812,0.000812
32,1889.22,1.11783,1.52801,1.5161,0.25444,0.41667,0.22408,0.10503,1.69111,3.18771,1.93524,0.0007724,0.0007724,0.0007724
33,1943.71,1.01158,1.54857,1.44439,0.15035,0.41667,0.14695,0.0664,1.71157,3.19375,1.97235,0.0007328,0.0007328,0.0007328
34,2000.6,0.99204,1.42673,1.42492,0.14366,0.45833,0.16153,0.069,1.72928,3.12688,1.96718,0.0006932,0.0006932,0.0006932
35,2057.16,1.09659,1.45239,1.49902,0.18288,0.45833,0.17634,0.07289,1.95986,3.01409,2.13216,0.0006536,0.0006536,0.0006536
36,2114.61,1.03438,1.49825,1.4534,0.24756,0.41667,0.27379,0.1311,1.8846,2.86407,2.0154,0.000614,0.000614,0.000614
37,2204.96,1.0701,1.50734,1.513,0.4507,0.33333,0.29991,0.17329,1.74455,2.64021,1.89228,0.0005744,0.0005744,0.0005744
38,2301.08,0.95734,1.3265,1.42722,0.4507,0.33333,0.29991,0.17329,1.74455,2.64021,1.89228,0.0005348,0.0005348,0.0005348
39,2391.02,0.99981,1.42138,1.45919,0.47749,0.29167,0.32289,0.18461,1.63139,2.64716,1.8292,0.0004952,0.0004952,0.0004952
40,2487.16,1.03816,1.4752,1.48848,0.34481,0.33333,0.29108,0.17771,1.55707,2.59522,1.8012,0.0004556,0.0004556,0.0004556
41,2567.98,1.23023,2.27866,1.72685,0.39717,0.33333,0.32643,0.19149,1.57634,2.68603,1.81426,0.000416,0.000416,0.000416
42,2646,1.25333,2.05168,1.79431,0.26872,0.29167,0.27443,0.17501,1.61751,2.73454,1.81648,0.0003764,0.0003764,0.0003764
43,2730.98,1.0425,1.89505,1.60515,0.31385,0.41667,0.28493,0.18101,1.61869,2.76045,1.82136,0.0003368,0.0003368,0.0003368
44,2813.22,1.13835,1.82789,1.68126,0.35313,0.41667,0.29162,0.17552,1.55724,2.65463,1.80742,0.0002972,0.0002972,0.0002972
45,2897.3,1.04165,1.71251,1.56953,0.32651,0.41667,0.27877,0.17423,1.51992,2.69129,1.77596,0.0002576,0.0002576,0.0002576
46,2980.54,1.01735,1.77589,1.51324,0.32651,0.41667,0.27877,0.17423,1.51992,2.69129,1.77596,0.000218,0.000218,0.000218
47,3067.79,0.94965,1.6265,1.3932,0.3017,0.33333,0.26838,0.15783,1.53767,2.76684,1.7637,0.0001784,0.0001784,0.0001784
48,3156.67,1.00588,1.67402,1.4746,0.32695,0.375,0.25799,0.14637,1.56209,2.80984,1.76115,0.0001388,0.0001388,0.0001388
49,3247.78,1.05974,1.66514,1.57028,0.27547,0.42796,0.27506,0.1382,1.5954,2.74704,1.76704,9.92e-05,9.92e-05,9.92e-05
50,3336.83,0.89708,1.63104,1.41218,0.25022,0.37546,0.2356,0.13386,1.57792,2.73485,1.76368,5.96e-05,5.96e-05,5.96e-05
