epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.275,1.70212,2.62029,1.83503,0.83547,0.07284,0.16295,0.07126,1.93474,2.93342,2.20109,0.000547373,0.000547373,0.000547373
2,569.521,1.66037,2.20579,1.84431,0.62026,0.21753,0.11821,0.03976,1.99335,3.49166,2.19975,0.0010812,0.0010812,0.0010812
3,2417.09,1.64487,2.20524,1.83123,0.61565,0.18182,0.09339,0.03397,1.81066,3.63977,2.17854,0.00159302,0.00159302,0.00159302
4,2778.64,1.64342,2.13441,1.80608,0.70365,0.19481,0.17553,0.07803,1.73315,2.9314,2.06485,0.00156798,0.00156798,0.00156798
5,3125.75,1.63016,2.15348,1.79672,0.75548,0.14935,0.17157,0.07494,1.79386,2.97405,2.12952,0.00153497,0.00153497,0.00153497
6,3471.81,1.59872,2.0736,1.75571,0.67773,0.19156,0.16724,0.07931,1.69195,2.52269,2.01856,0.00150197,0.00150197,0.00150197
7,3836.19,1.56668,2.10805,1.78157,0.68148,0.17208,0.16877,0.0827,1.70836,3.07202,2.09057,0.00146896,0.00146896,0.00146896
8,4175.78,1.5581,2.11052,1.77873,0.77984,0.1526,0.17881,0.07977,1.73123,2.46016,2.01758,0.00143595,0.00143595,0.00143595
9,4501.3,1.50774,2.0481,1.73012,0.73821,0.19498,0.21888,0.11047,1.64862,2.16235,1.95108,0.00140295,0.00140295,0.00140295
10,4768.6,1.51712,2.01601,1.74494,0.68473,0.22638,0.18468,0.07721,1.76776,2.39204,2.02015,0.00136994,0.00136994,0.00136994
11,5046.65,1.46014,1.95866,1.68386,0.67939,0.15805,0.13226,0.06149,1.62103,2.39159,1.86286,0.00133693,0.00133693,0.00133693
12,5318.27,1.50066,1.96417,1.68499,0.72082,0.19481,0.19822,0.09546,1.63262,2.15925,1.87957,0.00130393,0.00130393,0.00130393
13,5600.78,1.44414,1.95528,1.66966,0.61804,0.19156,0.11829,0.04546,1.77876,2.5696,2.05952,0.00127092,0.00127092,0.00127092
14,5856.81,1.45831,1.96978,1.69242,0.72979,0.185,0.17999,0.07948,1.68477,2.17526,1.93227,0.00123791,0.00123791,0.00123791
